,RUL-predicted
172,102.85
173,95.5125
174,93.335
175,105.0275
176,111.995
177,94.37
178,100.12
179,95.6
180,102.6875
181,98.4575
182,91.9875
183,78.3925
184,91.3675
185,81.6925
186,97.8125
187,88.0525
188,95.4575
189,87.7425
190,71.08
191,60.44
192,71.36
193,76.5675
194,75.5125
195,75.895
196,73.2525
197,75.27
198,79.205
199,49.13
200,67.865
201,66.185
202,56.8175
203,70.425
204,65.865
205,52.24
206,189.61
207,180.4125
208,198.24
209,192.9275
210,186.8175
211,185.7025
212,191.225
213,180.36
214,192.125
215,205.5225
216,187.3375
217,184.7525
218,207.1825
219,184.2725
220,179.02
221,183.1725
222,176.6825
223,183.6425
224,176.0475
225,170.78
226,174.3125
227,176.6875
228,177.05
229,176.475
230,192.515
231,174.93
232,179.56
233,174.2475
234,165.8875
235,164.1825
236,168.41
237,156.1675
238,184.4225
239,163.59
240,156.7775
241,214.3425
242,154.575
243,161.26
244,181.14
245,158.75
246,160.045
247,156.6175
248,152.9575
249,147.94
250,151.735
251,151.2125
252,152.6475
253,152.435
254,151.9175
255,157.3325
256,142.9175
257,146.3375
258,148.03
259,149.855
260,145.82
261,144.74
262,134.1875
263,144.5825
264,144.22
265,141.605
266,137.17
267,133.375
268,135.1425
269,138.495
270,142.525
271,135.6
272,147.6425
273,131.08
274,123.795
275,125.305
276,125.895
277,111.3175
278,127.0875
279,115.67
280,115.7125
281,112.7525
282,119.1875
283,114.25
284,134.2825
285,115.5375
286,133.135
287,123.59
288,119.015
289,113.365
290,126.2725
291,111.5375
292,105.9325
293,115.3225
294,106.425
295,111.23
296,108.92
297,111.4925
298,111.7525
299,96.5425
300,105.815
301,100.0875
302,99.6575
303,100.37
304,100.1525
305,91.8375
306,84.0525
307,109.1175
308,90.855
309,83.77
310,80.2325
311,74.1975
312,194.845
313,193.64
314,192.015
315,185.32
316,196.315
317,195.205
318,186.5175
319,185.5225
320,183.2375
321,183.98
322,208.295
323,187.1975
324,180.6575
325,183.395
326,173.7575
327,178.285
328,178.2325
329,179.2025
330,178.6775
331,169.345
332,181.64
333,169.34
334,176.64
335,188.65
336,176.195
337,172.0375
338,171.685
339,166.0325
340,172.4975
341,156.5775
342,181.3525
343,168.12
344,173.1375
345,160.135
346,153.9575
347,168.89
348,163.6725
349,160.525
350,160.515
351,168.855
352,159.555
353,148.4725
354,153.4625
355,148.5625
356,173.9225
357,153.48
358,149.02
359,147.5975
360,143.675
361,144.4725
362,144.5575
363,145.1675
364,150.595
365,151.1225
366,143.72
367,137.745
368,146.8275
369,147.64
370,151.62
371,150.6125
372,137.9575
373,128.7125
374,137.255
375,127.31
376,135.0575
377,133.0525
378,122.015
379,119.8325
380,131.715
381,129.7375
382,129.9475
383,130.78
384,127.9125
385,112.7775
386,124.705
387,116.52
388,137.015
389,117.4525
390,122.935
391,118.7675
392,113.1425
393,114.1475
394,111.255
395,113.4525
396,115.185
397,122.2375
398,107.19
399,110.3125
400,119.645
401,114.9525
402,102.9925
403,103.9325
404,99.6175
405,109.7675
406,96.1725
407,101.9525
408,98.38
409,104.7975
410,196.055
411,205.6575
412,194.0575
413,186.0425
414,202.8975
415,195.8625
416,192.9575
417,195.5775
418,184.025
419,190.2075
420,189.6075
421,184.9775
422,192.6625
423,179.33
424,172.1875
425,185.975
426,182.34
427,189.5025
428,190.9125
429,169.855
430,172.4225
431,188.595
432,187.1075
433,166.9025
434,168.1975
435,172.005
436,171.7575
437,178.68
438,176.4275
439,183.995
440,163.625
441,159.5875
442,157.805
443,177.945
444,161.06
445,158.175
446,171.5825
447,178.13
448,158.1
449,149.98
450,171.065
451,144.53
452,165.87
453,142.04
454,150.585
455,149.0725
456,153.2725
457,152.52
458,147.3525
459,152.5325
460,168.0325
461,147.605
462,139.84
463,147.865
464,141.0425
465,161.0075
466,136.89
467,148.5825
468,131.7375
469,160.2475
470,145.7275
471,124.8925
472,133.1475
473,137.3075
474,129.125
475,131.9975
476,134.6625
477,134.57
478,138.615
479,125.0525
480,133.7475
481,125.86
482,131.935
483,118.6025
484,127.0825
485,111.7525
486,120.405
487,118.63
488,113.3575
489,104.43
490,116.9
491,130.5075
492,133.6475
493,113.005
494,113.595
495,126.605
496,125.645
497,110.695
498,118.6575
499,115.705
500,106.39
501,107.41
502,108.82
503,117.9275
504,96.74
505,97.5875
506,111.0025
507,99.4725
508,108.08
509,104.2675
510,100.275
511,98.94
512,103.75
513,104.6225
514,89.84
515,199.8975
516,214.13
517,223.5225
518,235.3525
519,204.6525
520,205.97
521,229.17
522,203.3175
523,208.12
524,215.085
525,200.725
526,214.105
527,201.85
528,214.8525
529,210.375
530,208.9625
531,196.8225
532,220.4325
533,190.9125
534,206.4125
535,207.3475
536,201.24
537,204.5
538,195.365
539,199.0675
540,186.105
541,194.655
542,190.1475
543,189.185
544,187.5475
545,210.25
546,186.78
547,202.3075
548,195.2275
549,176.5475
550,178.6875
551,163.025
552,190.4225
553,191.93
554,195.4025
555,200.855
556,184.96
557,190.055
558,165.9475
559,181.205
560,182.4975
561,177.37
562,172.6825
563,163.4875
564,162.935
565,178.2125
566,160.48
567,159.6025
568,181.2325
569,169.135
570,148.3525
571,172.02
572,162.5
573,166.93
574,156.005
575,188.16
576,165.935
577,154.99
578,150.83
579,171.2975
580,157.4125
581,152.855
582,155.095
583,152.4175
584,172.19
585,160.23
586,155.925
587,142.2725
588,147.6775
589,155.8025
590,155.69
591,154.47
592,152.7225
593,148.6575
594,149.7225
595,141.3225
596,148.1875
597,139.9375
598,147.4
599,152.755
600,172.4625
601,122.0525
602,145.295
603,130.4275
604,147.8825
605,146.315
606,143.55
607,126.655
608,146.13
609,154.55
610,153.1875
611,130.7325
612,138.4225
613,136.1675
614,116.1325
615,137.045
616,139.725
617,126.3
618,129.37
619,151.2325
620,148.86
621,132.565
622,140.8275
623,136.0175
624,119.97
625,106.88
626,120.7625
627,149.7275
628,145.3025
629,118.645
630,133.83
631,114.68
632,120.75
633,107.245
634,101.7075
635,136.3325
636,124.245
637,131.8
638,128.1425
639,129.5175
640,105.4125
641,133.1575
642,111.645
643,134.385
644,121.7875
645,115.1725
646,121.9275
647,112.38
648,136.265
649,129.8225
650,116.2475
651,118.28
652,118.995
653,123.3
654,125.7975
655,101.08
656,109.825
657,107.2225
658,106.04
659,114.69
660,114.8775
661,114.4275
662,114.845
663,123.24
664,109.0775
665,128.93
666,115.59
667,108.01
668,118.9475
669,115.085
670,122.4775
671,109.1025
672,111.55
673,104.03
674,119.845
675,190.88
676,205.19
677,210.4025
678,203.12
679,201.445
680,195.205
681,195.5825
682,179.6
683,191.87
684,185.2575
685,188.5675
686,192.2575
687,190.3225
688,191.0775
689,189.6275
690,183.5925
691,180.025
692,174.8225
693,181.8925
694,177.43
695,181.585
696,179.5475
697,174.9375
698,173.3675
699,184.13
700,198.52
701,164.5025
702,180.9425
703,169.18
704,158.81
705,167.405
706,167.14
707,162.1925
708,167.245
709,173.5425
710,159.9275
711,168.3225
712,168.1825
713,171.0325
714,164.9575
715,180.61
716,165.225
717,154.705
718,157.8375
719,162.3825
720,153.5275
721,159.9475
722,164.7175
723,160.1575
724,147.945
725,157.68
726,157.0475
727,154.46
728,141.035
729,148.07
730,148.0925
731,147.465
732,140.8775
733,140.9475
734,142.22
735,136.3525
736,145.83
737,144.8825
738,156.785
739,142.1
740,163.7975
741,145.0375
742,144.355
743,129.2825
744,129.9225
745,135.355
746,136.635
747,130.52
748,127.2875
749,126.8375
750,144.1575
751,134.805
752,120.2225
753,114.8975
754,122.6575
755,120.15
756,116.2775
757,122.18
758,128.24
759,127.68
760,110.43
761,131.2325
762,104.555
763,140.095
764,106.775
765,120.9225
766,125.215
767,109.9325
768,102.1575
769,110.355
770,103.855
771,108.7425
772,107.1175
773,109.0625
774,92.32
775,99.1675
776,107.9525
777,104.6275
778,99.135
779,102.9
780,107.2475
781,101.8525
782,103.8225
783,94.705
784,106.0525
785,92.2275
786,95.6275
787,96.01
788,97.1925
789,97.45
790,93.2475
791,94.395
792,122.1625
793,86.36
794,98.3925
795,111.2375
796,88.65
797,92.94
798,99.0075
799,96.17
800,113.575
801,93.0375
802,88.875
803,86.155
804,86.57
805,98.715
806,102.1525
807,91.465
808,85.8975
809,93.0425
810,87.09
811,80.5275
812,94.445
813,81.7825
814,77.5225
815,89.0625
816,88.1225
817,96.54
818,89.825
819,82.7425
820,103.905
821,93.095
822,86.3575
823,87.725
824,105.975
825,86.375
826,70.3975
827,78.525
828,82.0875
829,75.8825
830,99.36
831,66.71
832,86.1925
833,95.2
834,73.65
835,71.8125
836,76.09
837,68.75
838,78.795
839,80.415
840,67.735
841,188.35
842,200.215
843,214.6275
844,196.0575
845,186.09
846,193.2275
847,188.485
848,189.87
849,189.73
850,184.47
851,187.12
852,180.3
853,192.77
854,190.525
855,184.2
856,178.22
857,179.865
858,180.985
859,182.1225
860,176.68
861,175.5575
862,185.4175
863,171.9275
864,184.0675
865,168.0425
866,182.2325
867,165.565
868,175.385
869,165.4925
870,164.855
871,168.0475
872,156.0025
873,160.37
874,166.9275
875,155.305
876,168.735
877,154.4
878,149.7425
879,163.5775
880,146.2225
881,161.68
882,144.435
883,145.0575
884,162.4225
885,159.59
886,157.96
887,145.4
888,154.5275
889,149.3525
890,155.1975
891,131.735
892,145.3225
893,138.16
894,153.43
895,135.995
896,213.875
897,217.395
898,225.83
899,181.0825
900,206.4925
901,219.865
902,215.615
903,209.0725
904,204.27
905,215.835
906,208.4675
907,201.7875
908,186.895
909,194.7675
910,190.1
911,192.8625
912,204.1275
913,194.265
914,199.855
915,206.975
916,205.3475
917,194.5175
918,203.57
919,214.7325
920,182.305
921,197.7625
922,205.4575
923,192.3175
924,179.98
925,182.92
926,180.2
927,181.88
928,173.765
929,172.9925
930,184.94
931,199.005
932,166.9875
933,189.7
934,181.3725
935,193.4075
936,168.55
937,170.53
938,169.97
939,168.1525
940,175.1575
941,170.8175
942,165.365
943,166.28
944,175.475
945,192.9825
946,149.555
947,148.62
948,161.3525
949,158.585
950,155.185
951,170.0375
952,150.5325
953,152.69
954,161.8625
955,159.6925
956,172.53
957,164.59
958,165.4025
959,154.755
960,156.0225
961,153.11
962,154.51
963,136.525
964,152.3325
965,146.115
966,141.06
967,149.265
968,157.1725
969,137.67
970,148.11
971,161.645
972,142.18
973,166.7875
974,143.3075
975,139.6875
976,155.715
977,143.315
978,142.1025
979,145.505
980,141.6925
981,150.1975
982,130.28
983,133.9725
984,148.0175
985,138.04
986,143.8075
987,138.5025
988,130.705
989,146.3425
990,152.8925
991,149.2525
992,142.8725
993,129.3125
994,128.6525
995,129.86
996,138.29
997,118.8475
998,130.5925
999,129.03
1000,115.3475
1001,129.05
1002,128.4125
1003,132.6075
1004,140.05
1005,152.045
1006,112.8825
1007,122.33
1008,137.53
1009,125.93
1010,143.57
1011,104.2975
1012,136.3975
1013,121.695
1014,140.6475
1015,121.8725
1016,119.335
1017,158.21
1018,118.575
1019,122.2825
1020,115.535
1021,122.2775
1022,121.23
1023,130.7225
1024,114.315
1025,130.9775
1026,99.6575
1027,103.935
1028,127.7925
1029,126.6375
1030,119.6025
1031,107.55
1032,106.525
1033,125.875
1034,125.025
1035,111.935
1036,150.3975
1037,111.4425
1038,143.1875
1039,116.23
1040,131.1125
1041,132.0675
1042,149.4625
1043,106.7175
1044,136.855
1045,113.08
1046,123.675
1047,114.6
1048,118.5175
1049,117.8825
1050,118.665
1051,117.94
1052,113.7675
1053,111.4775
1054,107.0375
1055,139.515
1056,113.8
1057,122.5275
1058,124.0275
1059,109.275
1060,120.31
1061,107.63
1062,107.9975
1063,130.7575
1064,110.2325
1065,117.3225
1066,123.6075
1067,126.5725
1068,126.5975
1069,114.62
1070,112.4925
1071,134.86
1072,124.82
1073,139.775
1074,124.5575
1075,118.6825
1076,113.41
1077,120.2425
1078,103.3575
1079,119.6025
1080,124.33
1081,122.36
1082,106.42
1083,130.2975
1084,118.5025
1085,122.2925
1086,121.1925
1087,120.705
1088,190.53
1089,197.23
1090,203.79
1091,206.18
1092,197.925
1093,194.105
1094,192.8975
1095,197.1425
1096,188.6725
1097,198.985
1098,188.96
1099,191.96
1100,192.2275
1101,184.28
1102,184.36
1103,178.8325
1104,186.435
1105,180.1525
1106,180.28
1107,173.2825
1108,173.3075
1109,176.305
1110,180.89
1111,174.24
1112,174.7075
1113,177.075
1114,184.2275
1115,169.77
1116,162.3975
1117,164.9975
1118,167.075
1119,178.7375
1120,176.235
1121,176.075
1122,165.7275
1123,162.2275
1124,163.4125
1125,157.3375
1126,152.99
1127,155.595
1128,156.0875
1129,159.8525
1130,162.5225
1131,147.865
1132,152.1275
1133,145.075
1134,146.6575
1135,146.075
1136,130.945
1137,144.5325
1138,148.9725
1139,141.29
1140,131.2375
1141,140.41
1142,141.405
1143,137.715
1144,142.8575
1145,131.395
1146,139.95
1147,122.335
1148,119.1125
1149,130.8375
1150,129.715
1151,133.6325
1152,127.1975
1153,130.0825
1154,137.21
1155,130.9975
1156,117.83
1157,117.2225
1158,123.875
1159,122.595
1160,95.745
1161,89.6725
1162,108.32
1163,113.5725
1164,103.835
1165,98.7025
1166,111.7625
1167,83.82
1168,110.1625
1169,95.165
1170,77.9
1171,206.07
1172,227.465
1173,227.4825
1174,208.04
1175,227.3875
1176,213.085
1177,210.6825
1178,199.1725
1179,209.665
1180,217.2375
1181,207.76
1182,218.44
1183,217.0575
1184,201.5425
1185,209.655
1186,211.635
1187,214.9875
1188,204.525
1189,207.315
1190,197.98
1191,187.095
1192,185.4975
1193,183.4
1194,216.5825
1195,189.1075
1196,174.5925
1197,188.38
1198,207.4675
1199,203.69
1200,201.21
1201,179.5575
1202,190.38
1203,192.5975
1204,221.6875
1205,167.3925
1206,192.6725
1207,184.585
1208,207.365
1209,202.1075
1210,179.57
1211,191.0925
1212,212.2875
1213,194.5675
1214,176.8975
1215,175.1175
1216,182.3925
1217,183.96
1218,162.205
1219,173.7175
1220,156.1075
1221,166.6525
1222,165.9275
1223,162.7725
1224,167.5075
1225,192.0875
1226,167.855
1227,171.1725
1228,171.425
1229,155.1275
1230,166.0375
1231,156.905
1232,168.3825
1233,160.7825
1234,175.66
1235,154.7975
1236,193.1375
1237,173.255
1238,142.2125
1239,169.7125
1240,147.675
1241,159.135
1242,138.435
1243,140.025
1244,153.855
1245,150.515
1246,151.97
1247,168.1075
1248,154.595
1249,156.48
1250,153.77
1251,163.515
1252,152.7175
1253,137.43
1254,147.54
1255,141.885
1256,139.185
1257,158.6325
1258,152.79
1259,146.3975
1260,161.775
1261,143.225
1262,137.8775
1263,140.13
1264,133.505
1265,126.8825
1266,146.9725
1267,141.385
1268,134.885
1269,141.555
1270,115.605
1271,144.5875
1272,140.8075
1273,139.945
1274,123.9475
1275,138.49
1276,150.385
1277,156.1825
1278,143.8775
1279,153.0075
1280,147.2775
1281,123.89
1282,140.905
1283,133.195
1284,132.22
1285,122.245
1286,133.43
1287,148.0425
1288,142.725
1289,135.575
1290,138.01
1291,142.74
1292,142.22
1293,130.1625
1294,136.1375
1295,137.335
1296,124.625
1297,143.815
1298,131.3525
1299,109.4525
1300,134.4725
1301,141.5075
1302,124.0225
1303,128.91
1304,137.3875
1305,144.885
1306,128.12
1307,136.16
1308,121.105
1309,121.1325
1310,152.47
1311,140.1075
1312,137.835
1313,136.595
1314,146.7825
1315,123.0375
1316,137.6425
1317,130.4625
1318,131.6625
1319,121.4475
1320,125.4025
1321,120.3
1322,109.9675
1323,136.0425
1324,132.6875
1325,126.88
1326,130.0325
1327,127.7425
1328,118.035
1329,128.2175
1330,121.2625
1331,122.075
1332,136.315
1333,126.385
1334,123.32
1335,132.515
1336,121.2975
1337,136.28
1338,127.06
1339,128.5125
1340,126.045
1341,114.5475
1342,123.8725
1343,125.2375
1344,117.245
1345,126.9825
1346,125.465
1347,121.1425
1348,131.23
1349,132.1175
1350,120.68
1351,118.6725
1352,130.52
1353,117.4325
1354,120.9225
1355,122.1075
1356,146.8675
1357,124.345
1358,129.1025
1359,115.5975
1360,120.25
1361,123.9625
1362,115.9725
1363,112.0075
1364,114.24
1365,106.245
1366,121.4675
1367,114.13
1368,107.565
1369,108.4375
1370,118.72
1371,118.19
1372,112.7525
1373,109.665
1374,110.5825
1375,106.825
1376,108.6375
1377,114.6375
1378,106.4
1379,113.345
1380,114.295
1381,125.9475
1382,102.9025
1383,111.775
1384,94.055
1385,102.185
1386,114.42
1387,96.595
1388,214.8
1389,194.95
1390,233.455
1391,205.465
1392,215.66
1393,206.1825
1394,213.8025
1395,191.555
1396,194.33
1397,200.515
1398,208.235
1399,197.25
1400,199.6025
1401,200.8775
1402,199.23
1403,196.5225
1404,206.35
1405,185.8
1406,193.93
1407,202.7725
1408,186.6875
1409,191.5025
1410,199.51
1411,174.155
1412,187.87
1413,187.205
1414,202.7
1415,178.225
1416,200.0375
1417,187.565
1418,191.4675
1419,183.435
1420,182.7375
1421,192.9275
1422,178.2925
1423,180.8425
1424,169.4375
1425,178.955
1426,180.88
1427,187.7425
1428,181.7075
1429,156.815
1430,169.1275
1431,167.7725
1432,165.2875
1433,166.7
1434,168.3975
1435,162.8325
1436,159.4325
1437,148.715
1438,164.42
1439,166.0225
1440,152.2075
1441,172.6875
1442,158.5825
1443,158.035
1444,163.1525
1445,143.99
1446,169.8275
1447,145.775
1448,170.2025
1449,161.5925
1450,160.7975
1451,167.3225
1452,144.255
1453,162.37
1454,160.965
1455,149.6675
1456,147.1925
1457,139.365
1458,151.445
1459,150.9625
1460,161.585
1461,130.9925
1462,154.525
1463,146.7575
1464,150.365
1465,167.7725
1466,146.57
1467,133.0375
1468,133.2675
1469,153.89
1470,156.105
1471,131.275
1472,159.67
1473,139.75
1474,142.605
1475,132.965
1476,134.6975
1477,139.7475
1478,135.145
1479,133.715
1480,135.475
1481,136.915
1482,144.255
1483,148.0625
1484,115.8125
1485,148.5325
1486,133.5125
1487,126.69
1488,132.075
1489,128.7375
1490,135.015
1491,139.1525
1492,125.575
1493,140.08
1494,135.275
1495,126.235
1496,111.845
1497,123.27
1498,130.16
1499,136.1875
1500,144.3275
1501,114.505
1502,116.775
1503,137.4475
1504,113.575
1505,127.5825
1506,129.425
1507,115.315
1508,129.54
1509,120.11
1510,117.4475
1511,116.1225
1512,142.88
1513,120.2075
1514,116.7675
1515,131.4825
1516,125.5225
1517,136.69
1518,121.0575
1519,117.465
1520,121.725
1521,123.8975
1522,133.7125
1523,118.5075
1524,106.735
1525,107.695
1526,147.13
1527,112.43
1528,115.465
1529,119.3875
1530,120.365
1531,136.745
1532,133.7825
1533,115.11
1534,126.835
1535,123.3275
1536,124.7025
1537,114.5225
1538,113.42
1539,116.4675
1540,112.405
1541,145.4125
1542,134.85
1543,116.0825
1544,116.2525
1545,109.365
1546,113.77
1547,130.6825
1548,123.415
1549,130.5675
1550,143.3425
1551,117.1025
1552,120.025
1553,120.065
1554,123.645
1555,122.725
1556,109.885
1557,115.72
1558,129.6825
1559,118.7
1560,109.34
1561,119.925
1562,103.6475
1563,126.3875
1564,117.24
1565,131.99
1566,128.7225
1567,118.2725
1568,131.22
1569,103.5175
1570,135.84
1571,127.73
1572,118.3875
1573,136.29
1574,131.665
1575,128.6725
1576,107.49
1577,121.6725
1578,117.6525
1579,105.67
1580,129.145
1581,107.32
1582,92.1275
1583,209.2375
1584,200.825
1585,192.3825
1586,194.81
1587,188.8875
1588,182.94
1589,197.5175
1590,194.25
1591,189.915
1592,194.37
1593,185.6325
1594,198.1025
1595,182.8525
1596,187.0875
1597,186.0975
1598,175.99
1599,182.9125
1600,186.885
1601,170.18
1602,173.835
1603,176.16
1604,186.7525
1605,164.6125
1606,175.1975
1607,182.095
1608,167.8825
1609,175.6075
1610,176.92
1611,166.9325
1612,172.6525
1613,163.185
1614,172.795
1615,157.125
1616,156.19
1617,166.3775
1618,152.31
1619,155.895
1620,160.2075
1621,156.585
1622,147.57
1623,154.59
1624,163.4225
1625,159.3425
1626,141.605
1627,150.0925
1628,151.95
1629,213.5925
1630,221.1025
1631,218.895
1632,215.66
1633,211.0675
1634,207.2725
1635,199.9475
1636,225.2075
1637,219.505
1638,195.4475
1639,209.1575
1640,190.1125
1641,195.19
1642,209.3775
1643,198.615
1644,208.2375
1645,198.8575
1646,191.0575
1647,200.8425
1648,193.01
1649,191.6875
1650,191.7275
1651,197.42
1652,194.945
1653,198.265
1654,220.775
1655,192.815
1656,180.965
1657,197.205
1658,196.2275
1659,189.9575
1660,181.6825
1661,208.2825
1662,192.1225
1663,198.025
1664,176.0975
1665,184.15
1666,167.6125
1667,165.2825
1668,173.59
1669,179.7125
1670,184.68
1671,174.815
1672,189.2925
1673,184.9075
1674,167.81
1675,187.4075
1676,192.895
1677,177.5975
1678,155.7675
1679,165.345
1680,159.4775
1681,180.045
1682,156.775
1683,152.1975
1684,173.485
1685,171.54
1686,145.6075
1687,160.345
1688,148.265
1689,181.9775
1690,139.0
1691,147.39
1692,167.8625
1693,160.3825
1694,142.7
1695,148.19
1696,149.5875
1697,141.7125
1698,138.515
1699,168.675
1700,133.825
1701,145.2775
1702,153.455
1703,147.05
1704,172.705
1705,231.6925
1706,218.345
1707,220.035
1708,219.09
1709,197.2325
1710,221.9025
1711,209.8175
1712,221.9375
1713,210.495
1714,199.0475
1715,206.69
1716,226.595
1717,215.285
1718,190.8525
1719,202.5575
1720,206.31
1721,203.65
1722,216.885
1723,196.875
1724,192.4075
1725,192.4225
1726,217.19
1727,203.5675
1728,199.2275
1729,220.675
1730,198.0075
1731,198.165
1732,183.52
1733,203.6275
1734,189.11
1735,211.4925
1736,180.5325
1737,186.955
1738,203.8975
1739,181.3275
1740,189.63
1741,188.89
1742,205.5525
1743,183.7
1744,194.075
1745,200.595
1746,185.175
1747,181.8075
1748,198.6675
1749,183.1975
1750,170.5075
1751,192.6875
1752,170.1125
1753,163.27
1754,154.7075
1755,165.75
1756,164.4725
1757,168.525
1758,190.825
1759,168.21
1760,153.7025
1761,189.46
1762,165.7575
1763,177.1725
1764,177.51
1765,183.1025
1766,158.6325
1767,160.39
1768,143.445
1769,171.5875
1770,138.475
1771,165.42
1772,163.3225
1773,148.855
1774,138.6075
1775,176.02
1776,178.91
1777,157.3775
1778,144.6575
1779,151.24
1780,144.3775
1781,137.7925
1782,167.8175
1783,170.2925
1784,130.61
1785,149.44
1786,154.3325
1787,153.9275
1788,134.46
1789,145.125
1790,150.1675
1791,143.935
1792,135.43
1793,139.8675
1794,148.3325
1795,150.0925
1796,154.5525
1797,137.9075
1798,110.1775
1799,134.6825
1800,137.9825
1801,146.28
1802,131.3525
1803,122.43
1804,122.7925
1805,136.7575
1806,112.4125
1807,131.0725
1808,120.3375
1809,110.6325
1810,141.085
1811,130.625
1812,147.055
1813,105.5325
1814,105.2025
1815,119.62
1816,136.495
1817,96.925
1818,217.8
1819,222.1575
1820,202.9975
1821,196.98
1822,225.5675
1823,192.29
1824,201.82
1825,211.8225
1826,208.7
1827,199.5325
1828,200.6725
1829,191.745
1830,195.3675
1831,204.36
1832,197.04
1833,215.165
1834,191.815
1835,206.17
1836,203.105
1837,189.395
1838,178.3875
1839,184.4225
1840,209.5025
1841,189.615
1842,189.9675
1843,186.04
1844,189.92
1845,169.565
1846,180.7825
1847,181.835
1848,175.105
1849,177.405
1850,167.145
1851,171.7525
1852,169.0025
1853,172.345
1854,181.6025
1855,170.56
1856,166.355
1857,152.69
1858,180.32
1859,163.675
1860,169.3675
1861,161.2525
1862,165.51
1863,154.625
1864,168.8725
1865,152.33
1866,159.2525
1867,176.815
1868,165.44
1869,163.515
1870,170.6075
1871,165.4775
1872,174.785
1873,168.845
1874,161.3825
1875,149.88
1876,146.81
1877,143.84
1878,144.8225
1879,166.26
1880,150.0
1881,165.88
1882,155.6275
1883,144.0625
1884,146.13
1885,160.38
1886,158.4175
1887,130.605
1888,131.0275
1889,142.67
1890,142.3125
1891,134.895
1892,127.3875
1893,126.1525
1894,149.815
1895,140.6425
1896,148.4025
1897,138.0
1898,138.01
1899,124.31
1900,159.335
1901,127.18
1902,127.07
1903,131.305
1904,115.9125
1905,143.44
1906,136.2125
1907,147.0725
1908,118.33
1909,141.1
1910,115.9
1911,121.9875
1912,140.73
1913,121.845
1914,103.12
1915,129.01
1916,114.525
1917,115.4975
1918,124.0
1919,108.425
1920,95.3475
1921,105.4
1922,121.1225
1923,108.71
1924,71.6925
1925,96.1225
1926,109.055
1927,111.3275
1928,95.7975
1929,103.53
1930,122.7625
1931,133.205
1932,94.445
1933,77.3575
1934,86.645
1935,94.7325
1936,100.2275
1937,92.2525
1938,97.8025
1939,88.95
1940,104.7275
1941,83.955
1942,81.0625
1943,79.8225
1944,99.925
1945,103.11
1946,96.5575
1947,84.055
1948,78.75
1949,75.4925
1950,88.875
1951,93.435
1952,67.965
1953,68.2025
1954,100.44
1955,85.535
1956,56.9125
1957,75.3275
1958,63.5075
1959,72.355
1960,69.6075
1961,73.7975
1962,84.8475
1963,70.81
1964,74.6625
1965,58.6825
1966,67.0075
1967,65.4525
1968,56.575
1969,48.49
1970,58.52
1971,61.005
1972,52.635
1973,56.5175
1974,53.3625
1975,54.2075
1976,60.6425
1977,56.0525
1978,57.5975
1979,60.95
1980,48.9175
1981,63.615
1982,53.18
1983,202.455
1984,202.7625
1985,203.6825
1986,203.42
1987,192.2825
1988,220.335
1989,193.7475
1990,193.9225
1991,193.0775
1992,212.8075
1993,206.56
1994,210.095
1995,217.2575
1996,182.5825
1997,195.5725
1998,198.74
1999,184.77
2000,186.3825
2001,193.42
